"research_development_spent","administration","marketing_spent","state_usa","profit"
"1157123.99","107896.9","60551","Oregon","1594495.99"
"1798229.99","135222.9","34782","Wyoming","129362.99"
"1250414.99","59631.9","31931","California","2313890.99"
"722966.99","129074.9","116675","Alaska","822050.99"
"383206.99","92329.9","67508","Florida","2088594.99"
"403285.99","74520.9","47972","Louisiana","787895.99"
"861790.99","107318.9","114935","Wyoming","2935405.99"
"606589.99","82791.9","75288","Hawaii","2088083.99"
"1072542.99","75328.9","98809","Pennsylvania","1890271.99"
"155083.99","128398.9","63666","Alaska","1866877.99"
"1019595.99","66110.9","97604","Utah","2636294.99"
"1875133.99","103196.9","37718","California","2719799.99"
"1791848.99","79281.9","103100","Montana","1311427.99"
"1387658.99","120777.9","119665","Wyoming","1570538.99"
"1263330.99","102385.9","117563","Indiana","1542962.99"
"1821542.99","53279.9","47019","Oregon","561220.99"
"859197.99","93983.9","71485","Montana","833587.99"
"105086.98999999999","120847.9","102922","Colorado","1276978.99"
"352053.99","87072.9","31951","Alabama","398021.99"
"476147.99","93143.9","75686","Ohio","743815.99"
"933266.99","107860.9","51672","Alabama","1346449.99"
"580840.99","53904.9","112994","Oregon","1198331.99"
"1116726.99","127485.9","81283","Alaska","2886772.99"
"225364.99","74910.9","98882","Kansas","1041043.99"
"1997933.99","70581.9","109378","Illinois","1518147.99"
"705193.99","86704.9","97281","Montana","2721712.99"
"467335.99","54642.9","33824","Nebraska","1884640.99"
"1059202.99","115841.9","45634","Texas","706488.99"
"1557004.99","81097.9","112433","Utah","1776624.99"
"1715627.99","61617.9","38514","Oregon","1526547.99"
"1144034.99","98523.9","52896","Louisiana","2061628.99"
"1496277.99","104491.9","74515","Alabama","2430410.99"
"637793.99","75079.9","107567","Wyoming","2176831.99"
"921231.99","116948.9","73902","Kansas","1035400.99"
"912331.99","59714.9","70942","Minnesota","2848832.99"
"1340661.99","109442.9","93597","Nebraska","1921238.99"
